key_value	code	phrase	word_orth	word_SAMPA	word_ocurrence	letter_orth	consonant	segmental_context	segmental_ocurrence	monosyllable	stressed	word_initial_syllable	word_final_syllable	phrase_initial_syllable	phrase_final_syllable	lexical	inside_root
1001	S01_T01	Para el desayuno, el almuerzo y la comida, Lorena bebe limonada.	bebe	beBe	1	b	b	a_e	1	0	1	1	0	0	0	1	1
1002	S01_T02	Allí, Lorena vende guaraná.	vende	bende	1	b	b	a_e	1	0	1	1	0	0	0	1	1
1003	S01_T05	Manolo robó la bodega.	robó	roBo	1	b	b	o_o	1	0	1	0	1	0	0	1	1
1004	S01_T05	Manolo robó la bodega.	bodega	boDeGa	1	b	b	a_o	1	0	0	1	0	0	0	1	1
1005	S01_T05	Manolo robó la bodega.	bodega	boDeGa	1	d	d	o_e	1	0	1	0	0	0	0	1	1
1006	S01_T06	Con mucha tristeza, Lorena miraba la moneda.	miraba	mi4aBa	1	b	b	a_a	1	0	0	0	1	0	0	1	0
1007	S01_T09	Mientras ellas se divertían, Lorena miraba la luna.	miraba	mi4aBa	1	b	b	a_a	1	0	0	0	1	0	0	1	0
1008	S01_T10	Nunca lo olvidaría.	olvidaría	olBiDa4ia	1	d	d	i_a	1	0	0	0	0	0	0	1	1
1009	S02_T01	A Daniel le gusta mucho estudiar idiomas raros.	estudiar	estuDjar	1	d	d	u_i	1	0	1	0	1	0	0	1	1
1010	S02_T01	A Daniel le gusta mucho estudiar idiomas raros.	gusta	gusta	1	g	g	e_u	1	0	1	1	0	0	0	1	1
1011	S02_T03	Mientras ella trabajaba en el jardín, Dora quemaba la novela y Nora botaba la canela.	novela	noBela	1	v	b	o_e	1	0	1	0	0	0	0	1	1
1012	S02_T04	La mamá de Daniel, con mucho cuidado, curó las heridas del colibrí.	cuidado	kwiDaDo	1	d	d	i_a	1	0	1	0	0	0	0	1	1
1013	S02_T04	La mamá de Daniel, con mucho cuidado, curó las heridas del colibrí.	cuidado	kwiDaDo	1	d	d	a_o	2	0	0	0	1	0	1	1	0
1014	S02_T04	La mamá de Daniel, con mucho cuidado, curó las heridas del colibrí.	heridas	e4iDas	1	d	d	i_a	1	0	0	0	1	0	0	1	0
1015	S02_T05	Al verlo triste a Daniel, su mamá le propuso que mientras ella estaba fuera, Diego cuidaría al colibrí.	cuidaría	kwiDa4ia	1	d	d	i_a	1	0	0	0	0	0	0	1	1
1016	S02_T06	Entonces fue así que en las siguientes semanas, todos los días, Daniel estudiaba bengalí mientras Diego miraba al colibrí.	todos	toDos	1	d	d	o_o	1	0	0	0	1	0	0	1	1
1017	S02_T06	Entonces fue así que en las siguientes semanas, todos los días, Daniel estudiaba bengalí mientras Diego miraba al colibrí.	siguientes	siGjentes	1	g	g	i_i	1	0	1	0	0	0	0	1	1
1018	S02_T06	Entonces fue así que en las siguientes semanas, todos los días, Daniel estudiaba bengalí mientras Diego miraba al colibrí.	Diego	djeGo	1	g	g	e_o	1	0	0	0	1	0	0	1	1
1019	S02_T07	Cuando el colibrí sanó, siguió batiendo sus alas para la alegría de Dora, Nora, Diego, Daniel y su mami.	Dora	dora	1	d	d	e_o	1	0	1	1	0	0	0	1	1
1020	S02_T07	Cuando el colibrí sanó, siguió batiendo sus alas para la alegría de Dora, Nora, Diego, Daniel y su mami.	siguió	siGjo	1	g	g	i_i	1	0	1	0	1	0	0	1	1
1021	S03_T01	Lo primero que recuerdo de mi sueño era que había un niño, una brújula, una víbora gigante y un señor árabe.	víbora	biBora	1	b	b	i_o	1	0	0	0	0	0	0	1	1
1022	S03_T01	Lo primero que recuerdo de mi sueño era que había un niño, una brújula, una víbora gigante y un señor árabe.	árabe	araBe	1	b	b	a_e	1	0	0	0	1	0	1	1	1
1023	S03_T01	Lo primero que recuerdo de mi sueño era que había un niño, una brújula, una víbora gigante y un señor árabe.	de	de	1	d	d	o_e	1	1	0	1	1	0	0	0	1
1024	S03_T02	El niño miraba la brújula mientras la víbora devoraba al árabe.	víbora	biBora	1	b	b	i_o	1	0	0	0	0	0	0	1	1
1025	S03_T02	El niño miraba la brújula mientras la víbora devoraba al árabe.	árabe	araBe	1	b	b	a_e	1	0	0	0	1	0	1	1	1
1026	S03_T02	El niño miraba la brújula mientras la víbora devoraba al árabe.	devoraba	deBo4aBa	1	d	d	a_e	1	0	0	1	0	0	0	1	1
1027	S03_T04	De pronto, sin ningún aviso, el niño prendió una bengala y la doña pulió la moneda.	doña	doJa	1	d	d	a_o	1	0	1	1	0	0	0	1	1
1028	S03_T06	Antes de despertar, vi que Danilo dibujaba un número mientras Mariana le mostraba una lámina de algo que parecía un paisaje.	de	de	2	d	d	a_e	1	1	0	1	1	0	0	0	1
1029	S03_T09	Danilo borraba el número y Mariana guardaba la lámina.	borraba	boraBa	1	b	b	o_o	1	0	0	1	0	0	0	1	1
1030	S03_T09	Danilo borraba el número y Mariana guardaba la lámina.	guardaba	gwarDaBa	1	g	g	a_u	1	0	0	1	0	0	0	1	1
1031	S03_TD2	Alrededor de ellos, había muchas luces de bengala sin encender.	alrededor	alreDeDor	1	d	d	e_e	1	0	0	0	0	0	0	1	1
1032	S04_T01	En la mañana bebe guaraná.	bebe	beBe	1	b	b	a_e	1	0	1	1	0	0	0	1	1
1033	S04_T04	¿cómo haría para lavar su ropa?	lavar	laBar	1	v	b	a_a	1	0	1	0	1	0	0	1	1
1034	S04_T05	Al pasar por la esquina, miró la bodega.	bodega	boDeGa	1	b	b	a_o	1	0	0	1	0	0	0	1	1
1035	S04_T05	Al pasar por la esquina, miró la bodega.	bodega	boDeGa	1	d	d	o_e	1	0	1	0	0	0	0	1	1
1036	S04_T06	Ayer vendió la bodega.	bodega	boDeGa	1	b	b	a_o	1	0	0	1	0	0	0	1	1
1037	S04_T06	Ayer vendió la bodega.	bodega	boDeGa	1	d	d	o_e	1	0	1	0	0	0	0	1	1
1038	S04_T14	Para ganar dinero, él se va al mercado y vende limonada.	vende	bende	1	v	b	i_e	1	0	1	1	0	0	0	1	1
1039	S04_T15	Y cuando el negocio no le va bien, juega dominó.	negocio	neGosjo	1	g	g	e_o	1	0	1	0	0	0	0	1	1
1040	S05_T01	Me dijo que en este país nunca miraban la luna.	dijo	dixo	1	d	d	e_i	1	0	1	1	0	0	0	1	1
1041	S05_T02	Ella abrió su cajón y sacó una cajita de zapatos.	de	de	1	d	d	a_e	1	1	0	1	1	0	0	0	1
1042	S05_T04	Me gustaron mucho las imágenes que vi.	gustaron	gustaron	1	g	g	e_u	1	0	0	1	0	0	0	1	1
1043	S05_T05	Le pedí que me regalara una de ellas y me dijo que tal vez luego.	dijo	dixo	1	d	d	e_i	1	0	1	1	0	0	0	1	1
1044	S05_T05	Le pedí que me regalara una de ellas y me dijo que tal vez luego.	pedí	peDi	1	d	d	e_i	1	0	1	0	1	0	0	1	1
1045	S05_T06	He insistido todos estos días.	todos	toDos	1	d	d	o_o	1	0	0	0	1	0	0	1	1
1046	S05_T06	He insistido todos estos días.	insistido	insistiDo	1	d	d	i_o	1	0	0	0	1	0	0	1	0
1047	S05_TD3	Además tenían tantas riquezas que sólo se dedicaban a construir ciudades inmensas.	dedicaban	deDikaBan	1	d	d	e_i	1	0	0	0	0	0	0	1	1
1048	S06_T02	¿Lorena olvidó la guaraná?	olvidó	olBiDo	1	d	d	i_o	1	0	1	0	1	0	0	1	1
1049	S06_T05	¿y qué pasó con el concurso de su colegio?	de	de	1	d	d	o_e	1	1	0	1	1	0	0	0	1
1050	S06_T06	¿Lalo ganó el regalo?	regalo	reGalo	1	g	g	e_a	1	0	1	0	0	0	0	1	1
1051	S06_T11	¿Quién donó el regalo?	regalo	reGalo	1	g	g	e_a	1	0	1	0	0	0	0	1	1
1052	S06_T15	¿Se quedó viendo tele?	quedó	keDo	1	d	d	e_o	1	0	1	0	1	0	0	1	1
1053	S06_T20	¿Bernabé devoraba qué?	devoraba	deBo4aBa	1	d	d	e_e	1	0	0	1	0	0	0	1	1
1054	S06_TD4	¡Chao, cuidate Bernabé, nos hablamos pronto!	cuidate	kwiDate	1	d	d	i_a	1	0	0	0	0	0	0	1	1
1055	S06_TG1	Le gusta que siempre esté limpia, especialmente su escritorio.	gusta	gusta	1	g	g	e_u	1	0	1	1	0	0	0	1	1
1056	S06_TG4	Mariano estaba pensando cómo conseguir dinero para comprar una televisión nueva.	conseguir	konseGir	1	g	g	e_i	1	0	1	0	1	0	0	1	1
1057	S06_TG5	Cuando Débora llegó a casa de la tía Margarita, le contó todo lo que había pasado.	llegó	LeGo	1	g	g	e_o	1	0	1	0	1	0	0	1	1
1058	S07_T02	El abuelo no sabe nada de la sorpresa.	nada	naDa	1	d	d	a_a	1	0	0	0	1	0	0	1	1
1059	S07_T02	El abuelo no sabe nada de la sorpresa.	de	de	1	d	d	a_e	1	1	0	1	1	0	0	0	1
1060	S07_T07	¡Ya llegamos!	llegamos	LeGamos	1	g	g	e_a	1	0	1	0	0	0	0	1	1
1061	S07_T08	Abuelo, mi papi te ha comprado una torta.	comprado	kompraDo	1	d	d	a_o	1	0	0	0	1	0	0	1	0
1062	S07_T09	¿tu papá me ha comprado qué?	comprado	kompraDo	1	d	d	a_o	1	0	0	0	1	0	0	1	0
1063	S07_T14	¿Te gusta el color?	gusta	gusta	1	g	g	e_u	1	0	1	1	0	0	0	1	1
